model_name,model_size_parameters,inference_time_ms,tokens_per_second,memory_usage_mb,accuracy_score,benchmark_score,hallucination_rate,cost_per_1k_tokens
Llama-3-8B,8B,224.8,37.6,9994,0.884,81.5,0.103,0.0077
Llama-3-8B,8B,241.0,41.1,9689,0.869,78.3,0.113,0.008
Llama-3-8B,8B,246.6,39.3,9810,0.874,82.0,0.123,0.0084
Llama-3-8B,8B,233.6,42.3,9946,0.854,77.2,0.123,0.0085
Llama-3-8B,8B,239.9,41.6,9632,0.874,80.2,0.119,0.0084
Llama-3-8B,8B,276.9,38.0,10073,0.863,80.2,0.116,0.0089
Llama-3-8B,8B,267.6,35.2,9948,0.841,77.9,0.126,0.0092
Qwen2.5-7B,7B,246.1,43.7,8506,0.867,79.9,0.125,0.0081
Qwen2.5-7B,7B,211.2,46.8,8413,0.885,80.6,0.119,0.0077
Qwen2.5-7B,7B,283.0,36.8,8933,0.842,75.9,0.131,0.0087
Qwen2.5-7B,7B,251.6,42.2,9052,0.834,76.3,0.117,0.0084
Qwen2.5-7B,7B,248.8,39.3,8351,0.882,79.9,0.113,0.0077
Qwen2.5-7B,7B,211.5,44.5,8694,0.857,76.3,0.116,0.007
Qwen2.5-7B,7B,254.9,43.0,8635,0.852,79.5,0.118,0.0075
Qwen2.5-7B,7B,231.2,45.0,8326,0.85,77.6,0.134,0.0079
Qwen2.5-7B,7B,202.1,46.9,9082,0.848,77.6,0.113,0.0065
Qwen2.5-7B,7B,264.6,39.6,8813,0.843,78.8,0.13,0.0078
Qwen2.5-7B,7B,201.9,43.0,8912,0.837,76.8,0.132,0.0067
Qwen2.5-7B,7B,211.2,42.2,8987,0.832,76.5,0.118,0.0067
Qwen2.5-7B,7B,238.3,37.0,8932,0.842,77.0,0.119,0.0071
Llama-2-13B,13B,369.9,30.4,14981,0.914,86.9,0.09,0.013
Llama-2-13B,13B,385.5,29.3,15294,0.904,85.7,0.116,0.0128
Llama-2-13B,13B,333.4,32.0,14992,0.903,87.6,0.085,0.0124
Llama-2-13B,13B,277.6,35.4,15039,0.917,84.7,0.101,0.0111
Llama-2-13B,13B,343.0,31.1,15282,0.919,86.3,0.105,0.0121
Llama-2-13B,13B,326.1,29.8,14963,0.887,85.1,0.1,0.0123
Llama-2-13B,13B,314.5,34.5,14654,0.901,87.2,0.086,0.0122
Llama-2-13B,13B,379.6,28.9,15049,0.885,84.7,0.103,0.0134
Llama-2-13B,13B,378.6,30.2,15375,0.903,86.1,0.104,0.0128
Llama-2-13B,13B,352.4,26.9,15276,0.91,84.9,0.106,0.013
Llama-2-13B,13B,393.1,30.2,15091,0.892,86.3,0.113,0.0138
Llama-2-13B,13B,301.4,33.9,14847,0.882,84.8,0.111,0.0117
Llama-2-13B,13B,317.7,32.2,14625,0.903,86.8,0.095,0.0117
Gemma-2-27B,27B,512.3,24.0,29754,0.918,90.0,0.08,0.0227
Gemma-2-27B,27B,563.9,21.5,29689,0.926,90.0,0.097,0.0231
Gemma-2-27B,27B,514.8,22.9,29689,0.918,90.0,0.086,0.0227
Gemma-2-27B,27B,429.8,22.2,29410,0.928,90.0,0.073,0.0212
Gemma-2-27B,27B,465.5,24.8,29700,0.93,90.0,0.076,0.022
Gemma-2-27B,27B,430.6,27.4,29990,0.93,90.0,0.09,0.0208
Gemma-2-27B,27B,445.3,22.3,29941,0.93,90.0,0.096,0.0207
Gemma-2-27B,27B,597.8,20.3,29719,0.927,90.0,0.088,0.0241
Gemma-2-27B,27B,466.8,20.4,29708,0.929,90.0,0.092,0.022
Gemma-2-27B,27B,591.6,17.6,29458,0.93,90.0,0.095,0.0237
Gemma-2-27B,27B,588.8,21.6,29908,0.93,90.0,0.093,0.0242
Gemma-2-27B,27B,566.9,21.5,29421,0.93,90.0,0.085,0.0234
Gemma-2-27B,27B,444.1,22.6,29662,0.93,90.0,0.075,0.0216
Qwen2.5-14B,14B,403.9,27.3,16020,0.93,90.0,0.101,0.0141
Qwen2.5-14B,14B,398.6,26.4,16031,0.912,89.0,0.085,0.0145
Qwen2.5-14B,14B,337.3,30.8,15788,0.929,89.5,0.088,0.0128
Qwen2.5-14B,14B,305.0,30.8,15977,0.93,90.0,0.093,0.0123
Qwen2.5-14B,14B,286.4,34.6,15877,0.93,90.0,0.095,0.0122
Qwen2.5-14B,14B,333.1,28.3,15930,0.93,90.0,0.085,0.0128
Qwen2.5-14B,14B,408.3,26.0,16283,0.93,90.0,0.1,0.0145
Qwen2.5-14B,14B,379.1,29.3,15989,0.929,90.0,0.083,0.0133
Qwen2.5-14B,14B,413.5,25.0,15760,0.93,88.7,0.087,0.0146
Qwen2.5-14B,14B,407.1,24.5,15919,0.921,90.0,0.089,0.0138
Qwen2.5-14B,14B,404.1,29.3,15782,0.93,90.0,0.096,0.0138
Qwen2.5-14B,14B,341.4,31.7,16009,0.927,90.0,0.096,0.0128
Qwen2.5-14B,14B,395.7,30.2,16438,0.926,90.0,0.089,0.014
Falcon-40B,40B,819.1,17.0,43061,0.93,90.0,0.102,0.0353
Falcon-40B,40B,594.1,21.5,43178,0.926,90.0,0.096,0.0303
Falcon-40B,40B,683.8,15.3,43311,0.917,90.0,0.078,0.0325
Falcon-40B,40B,632.2,17.2,42973,0.93,90.0,0.09,0.0318
Falcon-40B,40B,590.9,21.1,43507,0.93,90.0,0.085,0.03
Falcon-40B,40B,575.0,21.5,43389,0.93,90.0,0.076,0.0301
Falcon-40B,40B,628.4,17.2,43585,0.92,90.0,0.097,0.0315
Falcon-40B,40B,564.3,17.3,43065,0.93,90.0,0.079,0.03
Falcon-40B,40B,724.1,19.3,43004,0.93,90.0,0.102,0.0334
Falcon-40B,40B,661.0,18.3,43735,0.917,90.0,0.095,0.0318
Falcon-40B,40B,754.0,17.7,43538,0.918,90.0,0.092,0.0343
Falcon-40B,40B,611.6,18.2,43506,0.93,90.0,0.076,0.0314
Falcon-40B,40B,674.7,14.0,43110,0.93,90.0,0.089,0.0329
Llama-3-70B,70B,1016.4,12.5,74603,0.93,90.0,0.098,0.0545
Llama-3-70B,70B,859.9,15.0,75045,0.93,90.0,0.097,0.0516
Llama-3-70B,70B,1013.9,11.1,75091,0.919,90.0,0.091,0.0551
Llama-3-70B,70B,1018.8,8.0,74979,0.93,90.0,0.088,0.055
Llama-3-70B,70B,939.0,14.0,74732,0.926,90.0,0.099,0.0537
Llama-3-70B,70B,847.1,11.2,75091,0.93,90.0,0.077,0.0515
Llama-3-70B,70B,1102.1,7.5,75073,0.93,90.0,0.093,0.0566
Llama-3-70B,70B,1083.4,9.6,75060,0.93,90.0,0.088,0.0563
Llama-3-70B,70B,901.8,13.4,74849,0.93,90.0,0.081,0.0522
Llama-3-70B,70B,996.0,9.6,75183,0.92,90.0,0.097,0.0543
Llama-3-70B,70B,1155.7,7.4,74996,0.928,90.0,0.089,0.057
Llama-3-70B,70B,1030.1,13.2,75019,0.93,90.0,0.096,0.055
Llama-3-70B,70B,855.0,9.4,75082,0.93,90.0,0.083,0.0519
Mixtral-8x7B,46.7B,783.6,11.8,50232,0.93,90.0,0.09,0.0382
Mixtral-8x7B,46.7B,850.4,16.6,50499,0.93,90.0,0.088,0.0397
Mixtral-8x7B,46.7B,850.4,11.8,50758,0.93,90.0,0.081,0.0388
Mixtral-8x7B,46.7B,658.4,14.8,50552,0.93,90.0,0.096,0.0358
Mixtral-8x7B,46.7B,697.0,16.1,50085,0.93,90.0,0.087,0.0358
Mixtral-8x7B,46.7B,886.4,14.3,50562,0.93,90.0,0.094,0.0403
Mixtral-8x7B,46.7B,619.7,17.8,50446,0.93,90.0,0.083,0.0348
Mixtral-8x7B,46.7B,768.4,13.3,50750,0.93,90.0,0.093,0.0374
Mixtral-8x7B,46.7B,632.9,16.1,50372,0.93,90.0,0.081,0.0351
Mixtral-8x7B,46.7B,841.9,17.0,50090,0.93,90.0,0.087,0.039
Mixtral-8x7B,46.7B,693.3,12.7,50217,0.93,90.0,0.081,0.0365
Mixtral-8x7B,46.7B,663.9,16.7,50235,0.93,90.0,0.087,0.0355
Mixtral-8x7B,46.7B,700.3,18.6,50389,0.924,90.0,0.084,0.0357
Qwen2.5-72B,72B,1031.2,11.8,76926,0.93,90.0,0.087,0.0566
Qwen2.5-72B,72B,1118.6,9.3,76870,0.923,90.0,0.092,0.0573
Qwen2.5-72B,72B,1032.2,9.3,77341,0.92,90.0,0.1,0.056
Qwen2.5-72B,72B,1135.4,12.8,77154,0.93,90.0,0.091,0.0576
Qwen2.5-72B,72B,880.5,11.7,76916,0.93,90.0,0.082,0.0532
Qwen2.5-72B,72B,904.8,13.5,76789,0.93,90.0,0.087,0.0538
Qwen2.5-72B,72B,954.1,10.4,77089,0.93,90.0,0.095,0.0548
Qwen2.5-72B,72B,1087.1,10.1,77324,0.93,90.0,0.092,0.0575
Qwen2.5-72B,72B,1049.8,11.4,77046,0.921,90.0,0.094,0.0559
Qwen2.5-72B,72B,1189.7,6.8,76801,0.93,90.0,0.09,0.0596
Qwen2.5-72B,72B,1195.8,11.2,76600,0.923,90.0,0.088,0.0596
Qwen2.5-72B,72B,1030.5,8.5,77280,0.929,90.0,0.096,0.0564
Qwen2.5-72B,72B,1084.5,11.1,76704,0.93,90.0,0.084,0.0577
DeepSeek-67B,67B,895.2,10.7,71864,0.929,90.0,0.098,0.0511
DeepSeek-67B,67B,882.6,14.2,71604,0.93,90.0,0.098,0.0508
DeepSeek-67B,67B,892.6,14.4,71577,0.925,90.0,0.087,0.0503
DeepSeek-67B,67B,998.3,13.4,71410,0.93,90.0,0.083,0.053
DeepSeek-67B,67B,989.0,9.1,71631,0.92,90.0,0.096,0.052
DeepSeek-67B,67B,1002.5,11.4,72048,0.93,90.0,0.082,0.0534
DeepSeek-67B,67B,911.8,15.7,71372,0.93,90.0,0.093,0.0516
DeepSeek-67B,67B,1119.8,13.4,71441,0.93,90.0,0.09,0.0552
DeepSeek-67B,67B,1145.7,13.6,72001,0.93,90.0,0.083,0.0563
DeepSeek-67B,67B,905.8,13.2,71695,0.93,90.0,0.087,0.0506
DeepSeek-67B,67B,824.2,13.2,71506,0.93,90.0,0.093,0.0494
DeepSeek-67B,67B,1062.3,13.7,72018,0.93,90.0,0.081,0.0543
DeepSeek-67B,67B,850.3,11.9,71498,0.924,90.0,0.093,0.0504
